NAME,ID
AEM SGD,AWX
Bund Center,BTE
CapLand IntCom T,C38U
China Aviation,G92
Frencken,E28
Genting Sing,G13
GP Industries,G20
Haw Par,H02
Hock Lian Seng,J2T
Hotung Inv,BLS
Karin Tech,K29
New Toyo,N08
Noel Gifts Intl,543
PanUnited,P52
Powermatic Data,BCY
QAF,Q01
SATS,S58
Sing Inv & Fin,S35
TJ DaRenTang USD,T14
XMH,BQF
